Time resolution is 1 ps
Time: 1875000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1895000 | Master Din: a5 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 1915000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2005000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2025000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 2045000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2075000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2095000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 2115000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2145000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2165000 | Master Din: a5 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2185000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2215000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2235000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2255000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2355000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2375000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2405000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2425000 | Master Din: a5 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 2445000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2475000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2495000 | Master Din: a5 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 2515000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2605000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2625000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 2645000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2675000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2695000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 2715000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2745000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2765000 | Master Din: a5 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2785000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2815000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2835000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2855000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2955000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2975000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3005000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3025000 | Master Din: a5 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 3045000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3075000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3095000 | Master Din: a5 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 3115000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3205000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3225000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 3245000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3275000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
